text,tweet_type,lang
#EnemyOfThePeople  Federal Arrests Show No Sign that Antifa Plotted Protests - The New York Times https://t.co/cS0mbLPlDf,original,en
I know many people can consider K-pop stans annoying but they‰Ûªre actually #BlackLivesMatter and anti-police brutality as well.,original,en
"‰ÛÏThese last four years between Philando Castile‰Ûªs murder &amp; George Floyd‰Ûªs, have shown us that police reform doesn‰Ûªt go far enough. This ground swell of public demonstrations...across this country...call[s] for transformational change.‰Û #DefundThePolice @ABC @ColumbiaLaw https://t.co/iOel2v2qIE",original,en
"Racists have gotten to the point of framing George Floyd as a ‰ÛÏcriminal‰Û in an attempt to justify his murder.   I have no knowledge of his history, but here‰Ûªs the thing - it doesn‰Ûªt matter.   Police officers shouldn‰Ûªt murder anybody.   I don‰Ûªt understand why that‰Ûªs controversial.",original,en
George Floyd died in the street so i wont have to #BlackLivesMattters #DefundThePolice,original,en
"hey y'all, I started a petition to increase required training for MD police to prevent tragedies like george floyd. text ""sign ktrgfp"" to 50409 to show support!",original,en
This one girl asked my friend why she was crying about George Floyd‰Ûªs death??!!! I CANT EVEN COMPREHEND THAT QUESTION.,original,en
"My Daddy changed the world! - Gigi Floyd, 6 years old.  I tear up every time I hear this because Gigi shouldn't have had to lose her Daddy for the world to change. It should have changed long before that.  #BlackLivesMatter #RIPGeorgeFloyd",original,en
Race and social change ‰ÛÒ The power of protest and the legacy of George Floyd https://t.co/wmkFfaYQpy,original,en
"wait- how come NO ONE told me that Thomas Lane, the man who held down George Floyd‰Ûªs legs as Derek Chauvin kneeled on his neck for 9 minutes, and in the end MURDERING George Floyd, has been released after posting bail at an estimated 1 Million Dollars????",original,en
Who else needs to die?': Calls for police reform intensify amid George Floyd protests https://t.co/B1f42dyqtB,original,en
George Floyd‰Ûªs family ask the UN to disarm the police in the United States https://t.co/DLAHMPk57C via @pamelageller,original,en
"UAMS staff, residents, and students honor George Floyd by kneeling with a moment of silence for 8 minutes and 46 seconds. https://t.co/yeZsIVNl8C",original,en
STOP going to the George Floyd Memorial just to post pictures!!!!!!!!!!!!! I don‰Ûªt understand how no one comprehends how disrespectful it is!!!!!!!!!!!,original,en
Mayor Jacob Frey: Justice for George Floyd - Sign the Petition! https://t.co/BviRZmrimq via @Change,original,en
"Stand in global solidarity with #BlackLivesMatter! #Enoughisenough, join the fight to end police brutality and liberate Black people. No one is free until we are all free. #Icantbreathe #silenceisviolence https://t.co/GZArFD6FSc",original,en
George floyd is like a modern day Jesus #BlackLivesMattters  #DefundThePolice,original,en
"While the situation will always be tragic, one positive thing to come out of the murder of George Floyd is the way so many people have rallied together to uplift Floyd and the family he left behind.  Source: Mario Tama / Getty https://t.co/dbPpnrysRs https://t.co/hZVzDmMQ5Y",original,en
https://t.co/Lr3YqvH7TO  The team located in the epicenter of America's racial reckoning is seeking ways to heal a community. That includes starting a George Floyd scholarship.,original,en
"Despite the coronavirus 2020 has been a great year for me‰Û_ As for the murder of George Floyd, this will be the catalyst to put these white blue-eyed devil‰Ûªs to death with their  methods of mistreatment of black people... God Said Enough is Enough",original,en
"So... You saying George Floyd was a criminal before... But y'all still be sucking on Mark Wahlberg's d*ck?  Yeah, bitch! Stop bringing the past to justify murder!",original,en
We are fighting against injustice _Ù÷Ó and we need a change immediately‰Û_•ü this song is dedicated to the people that lost their lives due to injustice and police brutality ‰Û_•ü‰Û_•ü #RIPGeorgeFloyd #BLM #BlackLivesMattters #repost #icantbreathe #wemattertoo #fuckpolice #spiffy #meekmill https://t.co/lfjSfNFUf7,original,en
George Floyd: Friends And Family Remember His Life And Legacy https://t.co/zaN5Jz95n9,original,en
I had a feeling people were gonna go quiet after George Floyd was out to rest we need to keep the same energy and outrage y‰Ûªall,original,en
I still can‰Ûªt watch the full video of George Floyd...hurts me everytime I try,original,en
"So many changes need to be made in this world. The police need alot of changing. Allot of police abuse their power. My heart aches for all lives taken or hurt unnecessarily by police I don't care the color of skin Eric sopp, George Floyd, Tony Timpa, Daniel Shaver, Martin Gurgino",original,en
"Our nation has witnessed the death of George Floyd, Ahmaud Arbery, Breonna Taylor, Tony McDade, &amp; others all citizens of our nation who did not get a fair chance.  UFI was founded in 1991 by four black businessmen. We support #BlackLivesMatter and we hope you will too.",original,en
"I agree @realDonaldTrump Go back to your freaking bunker and stay there until November, you're no freaking leader, you're nothing but a petulant spoiled rich man, that contrary too what you yourself think, knows nothing of leadership. #BunkerBoyTrump   https://t.co/H1HoZhpnJ1",original,en
"Regarding the topic of black lives matter, if someone says ‰ÛÏI don‰Ûªt wanna talk about politics‰Û, than you already know where they stand.  Human rights isn‰Ûªt political. The death of George Floyd isn‰Ûªt political. This is real life.",original,en
I cannot believe one of the four officers involved in the murder of George Floyd has been released on bail.,original,en
NYTimes There ya go! #VoteOutHate https://t.co/FobQA3zkZl,original,en
In solidarity with the global movement against the police brutality and the abuse of power we stand with Breonna Taylor‰Ûªs family to get the justice they deserve @blacklivesmatter #womenslivesmatter https://t.co/EFnaSrKHO8,original,en
H.E.R. Honors George Floyd With ‰Û÷Painful‰Ûª New Song ‰Û÷I Can‰Ûªt Breathe‰Ûª https://t.co/DQqsH0ySKC https://t.co/iMQgM7UEdW,original,en
"Was on the phone with my white Fox News watching grandma yesterday when she mentioned the #BLM protests.  Prepared for a diatribe, I was surprised when she was supportive and said ""the police really need to be changed"".  Did... did we win??????",original,en
THIS. FUCK THE POLICE. #acab #BlackLivesMatter https://t.co/sxVfd0jbNT,original,en
Tell me again that police brutality is not a race thing. #blm #blacklivesmatter  https://t.co/lRij30TUyv,original,en
"PGA Tour holds moment of silence for Floyd: Colonial already was quiet with no spectators around for the return of the PGA Tour on Thursday. And then at 8:46 a.m., it came to a standstill. https://t.co/M4zWRZaW78",original,en
"""George Floyd was a criminal""  So is George W. Bush, have we killed him?",original,en
Irving children create artwork to honor George Floyd and the black community https://t.co/pBu1YjYMU6,original,en
"Black teenage boy tased and beaten by NYPD at George Floyd protests, family says https://t.co/sykYDLk1c2",original,en
"@CALtGovernor, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/6wPpeaIHcV)  #BlackLivesMatter",original,en
"Thomas Lane, police officer involved in George Floyd's death, released from jail on bail - ABC News - https://t.co/TChyfAkBWh via @ABC  He gets to live his life when he helped murder a man. Just wrong on so many levels  #NeedsLifeInPrison #WhitePrivilegeOnDisplay",original,en
Floyd George was by far an isolated incident and the police behave like murderous thugs in this country too.  It's time for a change to the way this country is policed.   Here is the form to complain and now is the time: https://t.co/0eoxoYsXca  #PoliceReform,original,en
"A 17-year-old girl filmed George Floyd's murder.  She has been ridiculed as an attention seeker and accused of doing nothing to help.  Thank you, Darnella Frazier.  My children will be safer because of your quick thinking and bravery.  #ShineALight  https://t.co/QpzhGmwxNA",original,en
"@CAgovernor, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/6wPpeaIHcV)  #BlackLivesMatter",original,en
EVENT June 13: International Solidarity Day of Protest Against Police Terror - Mpls - 1-4pm https://t.co/2xD30pmkOZ @BLMMinnesota @CUAPBMpls @WAMMwoman @GreenPartyMN @RaceJustice #blacklivesmatter #NativeLivesMatter #PoliceReformNow #minneapolis,original,en
George Floyd was buried in a 24k Gold casket....... Niceeee_ÙÔÎ_Ù_,original,en
"@JuliaBrownley26, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/6wPpeaIHcV)  #BlackLivesMatter",original,en
"Stand in global solidarity with #BlackLivesMatter! #Enoughisenough, join the fight to end police brutality and liberate Black people. No one is free until we are all free. #Icantbreathe #silenceisviolence https://t.co/lo8bS5rLqw",original,en
#BlackLivesMatter. That‰Ûªs why millions have taken to the streets to demand justice for George Floyd &amp; the countless Black Americans like him who have suffered at the hands of police.,original,en
"@KamalaHarris, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/6wPpeaIHcV)  #BlackLivesMatter",original,en
"H.E.R. shares powerful new song, ‰Û÷I Can‰Ûªt Breathe‰Ûª in response to death of George Floyd https://t.co/fFP4tbA0Hv https://t.co/uWhF2ySx60",original,en
"Rest In Peace, George Floyd. _Ùª_Ù__Ùª_Ù_‰_•ü  _ÙÒü‰Ûªs: THE @GregNoire #BlackLivesMatters #JusticeForFloyd https://t.co/eqLxeRoQ3v",original,en
"This is a cop, who is currently arguing with me about how his trump flag and blue lives matter flag aren‰Ûªt racist. Saying that the murder of George Floyd wasn‰Ûªt racist.  #BlackLivesMattters ‰Ï__ÙÀ‰Ï__Ù_‰Ï__Ù_‰Ï__ÙÈ https://t.co/83OazEmhxL",original,en
"@SenFeinstein, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? (via https://t.co/6wPpeaIHcV)  #BlackLivesMatter",original,en
"@SenFeinstein, We want to see real action, not a PR statement. What are you doing to protect your Black constituents from police brutality? Here‰Ûªs your chance to do more than pay lip service  #BlackLivesMatter",original,en
"Derek Chauvin the supremacist. The formerly active Minneapolis cop who killed #GeorgeFloyd. The cop with cop pay who NEEDED to work at a club WITH George Floyd for the money. Posted $75,000.00 bail. I want to know who has nearly $1,000,000.00 to bail out this scumbag. https://t.co/oYTyV4V0TT",original,en
